kepid,kepoi_name,kepler_name,ra,ra_err,ra_str,dec,dec_err,dec_str,koi_gmag,koi_gmag_err,koi_rmag,koi_rmag_err,koi_imag,koi_imag_err,koi_zmag,koi_zmag_err,koi_jmag,koi_jmag_err,koi_hmag,koi_hmag_err,koi_kmag,koi_kmag_err,koi_kepmag,koi_kepmag_err,koi_delivname,koi_vet_stat,koi_quarters,koi_disposition,koi_pdisposition,koi_count,koi_num_transits,koi_max_sngle_ev,koi_max_mult_ev,koi_bin_oedp_sig,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_trans_mod,koi_model_snr,koi_model_dof,koi_model_chisq,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_period,koi_period_err1,koi_period_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,koi_comment,koi_vet_date,koi_tce_plnt_num,koi_tce_delivname,koi_datalink_dvs,koi_disp_prov,koi_parm_prov,koi_time0,koi_time0_err1,koi_time0_err2,koi_datalink_dvr,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_insol,koi_insol_err1,koi_insol_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_score,label
10910878,K00757.01,Kepler-229 c,286.99948,0.0,19h07m59.88s,48.37579,0.0,+48d22m32.8s,16.559,,15.77,,15.534,,15.368,,14.363,0.036,13.868,0.044,13.785,0.054,15.841,,cumulative,Done,11111110111011101000000000000000,CONFIRMED,CANDIDATE,3,69.0,20.457163,137.44981,0.1819,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1451,0.582,Mandel and Agol (2002 ApJ 580 171),161.9,,,173.621937,0.000517,-0.000517,0.0,,,,,,5.76,0.22,-0.49,0.1158,,,0.052,0.262,-0.052,3.5347,0.0241,-0.0241,,,,4914.3,33.3,-33.3,16.06864674,1.088e-05,-1.088e-05,0.062161,0.000913,-0.000428,36.85,1.2,-1.2,89.92,,,600.0,,,5031.0,75.0,-83.0,4.485,0.083,-0.028,0.16,0.15,-0.15,0.848,0.033,-0.072,0.801,0.052,-0.03,,,,q1_q17_dr25_stellar,0.063,19.1332989,2.5e-06,48.375778,2.4e-05,0.033,0.091,-0.044,0.086,0.00026,0.00063,0.00049,0.00078,0.041,0.075,-0.015,0.073,0.044,0.075,0.005,0.075,0.03,0.082,0.031,0.081,NO_COMMENT,2018-08-16 00:00:00,1.0,q1_q17_dr25_tce,010/010910/010910878/dv/kplr010910878-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2455006.622,0.000517,-0.000517,010/010910/010910878/dv/kplr010910878-20160209194854_dvr.pdf,0,0,0,0,30.75,4.46,-6.66,3.6659,0.11507,-0.51226,LS+MCMC,1.0,1
10485250,K00745.01,,297.15442,0.0,19h48m37.06s,47.668701,0.0,+47d40m07.3s,16.529,,15.724,,15.47,,15.29,,14.176,0.026,13.688,0.028,13.555,0.037,15.788,,cumulative,Done,01111101110111011000000000000000,FALSE POSITIVE,FALSE POSITIVE,1,66.0,43.1625,258.8247,0.0112,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2075,0.49,Mandel and Agol (2002 ApJ 580 171),303.4,,,180.881761,0.000623,-0.000623,0.0,,,,,,7.94,0.89,-0.89,0.1147,,,0.292,0.118,-0.101,9.4378,0.06,-0.06,,,,10478.9,39.9,-39.9,16.46983774,1.361e-05,-1.361e-05,0.092509,0.000598,-0.001109,14.05,1.5,-1.5,88.81,,,595.0,,,5152.0,168.0,-153.0,4.517,0.088,-0.072,-0.2,0.3,-0.3,0.786,0.088,-0.088,0.741,0.106,-0.057,,,,q1_q17_dr25_stellar,0.0,19.81029277,8.7e-07,47.6686305,9.5e-06,-0.092,0.032,-0.25,0.034,0.0007,0.0013,0.0008,0.0019,-0.04,0.068,-0.004,0.067,0.04,0.068,0.017,0.07,0.001,0.072,0.017,0.071,MOD_SEC_DV---HAS_SEC_TCE,2018-08-16 00:00:00,1.0,q1_q17_dr25_tce,010/010485/010485250/dv/kplr010485250-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2455013.882,0.000623,-0.000623,010/010485/010485250/dv/kplr010485250-20160209194854_dvr.pdf,0,1,0,0,29.61,12.01,-8.91,0.19353,0.02009,-0.01907,LS+MCMC,0.0,0
10910878,K00757.02,Kepler-229 d,286.99948,0.0,19h07m59.88s,48.37579,0.0,+48d22m32.8s,16.559,,15.77,,15.534,,15.368,,14.363,0.036,13.868,0.044,13.785,0.054,15.841,,cumulative,Done,11111110111011101000000000000000,CONFIRMED,CANDIDATE,3,26.0,11.918161,37.877567,0.1551,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1451,0.582,Mandel and Agol (2002 ApJ 580 171),51.2,,,165.00404,0.00171,-0.00171,0.0,,,,,,3.86,0.15,-0.33,0.217,,,0.045,0.337,-0.045,4.6297,0.0633,-0.0633,,,,2213.9,45.5,-45.5,41.19725502,9.345e-05,-9.345e-05,0.041693,0.00118,-0.000613,70.75,2.1,-2.1,89.96,,,439.0,,,5031.0,75.0,-83.0,4.485,0.083,-0.028,0.16,0.15,-0.15,0.848,0.033,-0.072,0.801,0.052,-0.03,,,,q1_q17_dr25_stellar,0.123,19.1332861,8.4e-06,48.37579,8e-05,-0.43,0.3,0.0,0.29,0.00111,0.00073,0.00012,0.00079,0.12,0.19,0.0,0.13,0.12,0.19,0.07,0.2,0.03,0.16,0.08,0.16,NO_COMMENT,2018-08-16 00:00:00,2.0,q1_q17_dr25_tce,010/010910/010910878/dv/kplr010910878-002-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2454998.004,0.00171,-0.00171,010/010910/010910878/dv/kplr010910878-20160209194854_dvr.pdf,0,0,0,0,8.76,1.27,-1.9,3.9471,0.11711,-0.98055,LS+MCMC,0.992,1
10601284,K00749.01,Kepler-226 c,292.37613,0.0,19h29m30.27s,47.880989,0.0,+47d52m51.6s,15.988,,15.363,,15.172,,15.093,,14.114,0.029,13.724,0.035,13.633,0.052,15.416,,cumulative,Done,11111111111111111000000000000000,CONFIRMED,CANDIDATE,3,247.0,6.0370364,48.504196,0.7722,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.186,0.5256,Mandel and Agol (2002 ApJ 580 171),60.6,,,171.80694,0.00127,-0.00127,0.0,,,,,,2.55,0.16,-0.24,0.0563,,,0.092,0.369,-0.092,3.0278,0.0471,-0.0471,,,,831.0,14.8,-14.8,5.349553819,8.834e-06,-8.834e-06,0.025706,0.000845,-0.000453,13.8015,0.0496,-0.0496,89.62,,,919.0,,,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.16,0.15,-0.15,0.91,0.057,-0.086,0.831,0.058,-0.032,,,,q1_q17_dr25_stellar,0.002,19.4917224,9.3e-06,47.880883,8.4e-05,-0.71,0.34,-0.38,0.3,0.00055,0.00028,0.0003,0.00025,0.04,0.13,-0.02,0.12,0.04,0.13,-0.02,0.12,-0.03,0.12,0.04,0.12,NO_COMMENT,2018-08-16 00:00:00,1.0,q1_q17_dr25_tce,010/010601/010601284/dv/kplr010601284-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2455004.807,0.00127,-0.00127,010/010601/010601284/dv/kplr010601284-20160209194854_dvr.pdf,0,0,0,0,168.99,34.66,-38.48,1.73782,0.00625,-0.73875,LS+MCMC,1.0,1
10601284,K00749.03,Kepler-226 d,292.37613,0.0,19h29m30.27s,47.880989,0.0,+47d52m51.6s,15.988,,15.363,,15.172,,15.093,,14.114,0.029,13.724,0.035,13.633,0.052,15.416,,cumulative,Done,11111111111111111000000000000000,CONFIRMED,CANDIDATE,3,141.0,4.434382,9.776852,0.7742,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.186,0.5256,Mandel and Agol (2002 ApJ 580 171),14.1,,,132.8031,0.00716,-0.00716,0.0,,,,,,1.3,0.09,-0.12,0.0743,,,0.025,0.425,-0.025,3.596,0.198,-0.198,,,,217.4,16.8,-16.8,8.10904807,6.787e-05,-6.787e-05,0.013127,0.00087,-0.000503,17.46,2.7,-2.7,89.92,,,800.0,,,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.16,0.15,-0.15,0.91,0.057,-0.086,0.831,0.058,-0.032,,,,q1_q17_dr25_stellar,0.013,19.491847,4.7e-05,47.88095,0.00043,3.8,1.7,-0.1,1.6,-0.00072,0.00032,2e-05,0.00029,-0.11,0.93,-0.14,0.56,0.18,0.87,-0.15,0.99,-0.15,0.56,0.22,0.96,NO_COMMENT,2018-08-16 00:00:00,3.0,q1_q17_dr25_tce,010/010601/010601284/dv/kplr010601284-003-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2454965.803,0.00716,-0.00716,010/010601/010601284/dv/kplr010601284-20160209194854_dvr.pdf,0,0,0,0,97.03,19.9,-22.09,1.5302,0.23293,-0.63643,LS+MCMC,0.971,1
10601284,K00749.02,Kepler-226 b,292.37613,0.0,19h29m30.27s,47.880989,0.0,+47d52m51.6s,15.988,,15.363,,15.172,,15.093,,14.114,0.029,13.724,0.035,13.633,0.052,15.416,,cumulative,Done,11111111111111111000000000000000,CONFIRMED,CANDIDATE,3,322.0,4.5118856,22.749151,0.923,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.186,0.5256,Mandel and Agol (2002 ApJ 580 171),28.9,,,136.08662,0.00233,-0.00233,0.0,,,,,,1.7,0.11,-0.16,0.046,,,0.226,0.243,-0.226,2.5984,0.0737,-0.0737,,,,363.3,13.9,-13.9,3.94105221,1.094e-05,-1.094e-05,0.017105,0.000703,-0.000557,11.51,2.4,-2.4,88.88,,,1018.0,,,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.16,0.15,-0.15,0.91,0.057,-0.086,0.831,0.058,-0.032,,,,q1_q17_dr25_stellar,0.464,19.491748,2e-05,47.8811,0.00018,0.2,0.72,0.38,0.65,-8e-05,0.00025,-0.00013,0.00022,-0.23,0.22,0.35,0.31,0.42,0.22,-0.24,0.19,0.34,0.2,0.42,0.2,NO_COMMENT,2018-08-16 00:00:00,2.0,q1_q17_dr25_tce,010/010601/010601284/dv/kplr010601284-002-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2454969.087,0.00233,-0.00233,010/010601/010601284/dv/kplr010601284-20160209194854_dvr.pdf,0,0,0,0,253.15,51.91,-57.65,1.85636,0.37935,-0.52982,LS+MCMC,0.98,1
11304958,K00764.01,Kepler-667 b,295.55505,0.0,19h42m13.21s,49.017342,0.0,+49d01m02.4s,16.068,,15.32,,15.114,,14.996,,13.948,0.025,13.596,0.03,13.519,0.047,15.4,,cumulative,Done,11111111111111111000000000000000,CONFIRMED,CANDIDATE,1,33.0,27.788597,124.52492,0.4776,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.224,0.4695,Mandel and Agol (2002 ApJ 580 171),141.1,,,208.93203,0.00142,-0.00142,0.0,,,,,,5.5,1.57,-0.96,0.2288,,,0.355,0.04,-0.355,10.5989,0.088,-0.088,,,,2793.1,22.6,-22.6,41.43958662,7.557e-05,-7.557e-05,0.048175,0.000284,-0.001083,29.47,6.4,-6.4,89.31,,,516.0,,,5468.0,180.0,-164.0,4.367,0.153,-0.187,0.22,0.2,-0.3,1.046,0.297,-0.183,0.93,0.092,-0.074,,,,q1_q17_dr25_stellar,0.043,19.7036699,2.9e-06,49.017297,3.3e-05,0.0,0.1,-0.15,0.12,-0.00022,0.00032,-0.0004,0.0004,-0.029,0.082,-0.072,0.092,0.078,0.096,-0.049,0.083,-0.069,0.089,0.085,0.094,NO_COMMENT,2018-08-16 00:00:00,1.0,q1_q17_dr25_tce,011/011304/011304958/dv/kplr011304958-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2455041.932,0.00142,-0.00142,011/011304/011304958/dv/kplr011304958-20160209194854_dvr.pdf,0,0,0,0,16.72,14.66,-6.64,0.28189,0.06167,-0.03545,LS+MCMC,0.998,1
9579641,K00115.01,Kepler-105 b,287.88733,0.0,19h11m32.96s,46.276241,0.0,+46d16m34.5s,13.111,,12.732,,12.654,,12.648,,11.811,0.021,11.555,0.02,11.503,0.013,12.791,,cumulative,Done,11111111111111111000000000000000,CONFIRMED,CANDIDATE,3,244.0,46.475086,163.47614,0.2265,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2676,0.3928,Mandel and Agol (2002 ApJ 580 171),166.7,,,133.143089,0.000468,-0.000468,0.0,,,,,,2.94,0.43,-0.38,0.0591,,,0.787,0.005,-0.565,2.9472,0.024,-0.024,,,,601.6,4.0,-4.0,5.412203927,3.052e-06,-3.052e-06,0.024775,6e-05,-0.001886,9.25,4.5,-4.5,85.12,,,1093.0,,,5779.0,104.0,-115.0,4.339,0.132,-0.108,-0.06,0.15,-0.15,1.087,0.157,-0.142,0.941,0.074,-0.054,,,,q1_q17_dr25_stellar,0.0,19.1924882,1.9e-06,46.276192,1.9e-05,0.007,0.07,-0.175,0.068,-5.2e-05,4.3e-05,-0.000137,4.2e-05,-0.03,0.079,0.08,0.11,0.08,0.11,-0.16,0.078,-0.18,0.13,0.24,0.11,NO_COMMENT,2018-08-16 00:00:00,1.0,q1_q17_dr25_tce,009/009579/009579641/dv/kplr009579641-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2454966.143,0.000468,-0.000468,009/009579/009579641/dv/kplr009579641-20160209194854_dvr.pdf,0,0,0,0,337.68,137.29,-102.18,0.51087,1.25402,-0.00404,LS+MCMC,1.0,1
10987985,K00758.01,Kepler-665 b,297.02563,0.0,19h48m06.15s,48.478588,0.0,+48d28m42.9s,16.223,,15.342,,15.033,,14.903,,13.855,0.025,13.323,0.022,13.214,0.035,15.39,,cumulative,Done,11101101110111011000000000000000,CONFIRMED,CANDIDATE,1,65.0,8.468995,31.066507,0.8555,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1496,0.5746,Mandel and Agol (2002 ApJ 580 171),33.2,,,176.3608,0.00243,-0.00243,0.0,,,,,,3.1,0.34,-0.31,0.1148,,,0.799,0.097,-0.551,3.2554,0.0791,-0.0791,,,,1121.9,39.4,-39.4,16.01308419,4.854e-05,-4.854e-05,0.034369,0.003169,-0.004367,24.7,11.8,-11.8,88.14,,,593.0,,,5015.0,164.0,-149.0,4.499,0.092,-0.115,0.1,0.25,-0.25,0.826,0.091,-0.082,0.785,0.085,-0.056,,,,q1_q17_dr25_stellar,0.167,19.801708,1.3e-05,48.47849,0.00013,-0.03,0.47,-0.36,0.46,-2e-05,0.00055,0.00054,0.00054,-0.06,0.13,-0.21,0.13,0.22,0.13,-0.18,0.13,-0.08,0.11,0.19,0.13,NO_COMMENT,2018-08-16 00:00:00,1.0,q1_q17_dr25_tce,010/010987/010987985/dv/kplr010987985-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2455009.361,0.00243,-0.00243,010/010987/010987985/dv/kplr010987985-20160209194854_dvr.pdf,0,0,0,0,29.31,11.77,-8.24,1.10942,3.17981,-0.14515,LS+MCMC,1.0,1
10910878,K00757.03,Kepler-229 b,286.99948,0.0,19h07m59.88s,48.37579,0.0,+48d22m32.8s,16.559,,15.77,,15.534,,15.368,,14.363,0.036,13.868,0.044,13.785,0.054,15.841,,cumulative,Done,11111110111011101000000000000000,CONFIRMED,CANDIDATE,3,167.0,5.834264,35.96252,0.7587,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1451,0.582,Mandel and Agol (2002 ApJ 580 171),47.1,,,171.30126,0.00117,-0.00117,0.0,,,,,,2.65,0.1,-0.23,0.0617,,,0.105,0.329,-0.105,2.5819,0.0426,-0.0426,,,,1036.9,24.5,-24.5,6.252962249,9.577e-06,-9.577e-06,0.028604,0.001027,-0.000484,18.94,0.842,-0.842,89.68,,,823.0,,,5031.0,75.0,-83.0,4.485,0.083,-0.028,0.16,0.15,-0.15,0.848,0.033,-0.072,0.801,0.052,-0.03,,,,q1_q17_dr25_stellar,0.236,19.1332878,9.6e-06,48.375832,9e-05,-0.36,0.34,0.15,0.33,0.00042,0.00033,-9e-05,0.00032,0.03,0.16,0.05,0.14,0.06,0.16,-0.02,0.12,0.05,0.13,0.05,0.13,NO_COMMENT,2018-08-16 00:00:00,3.0,q1_q17_dr25_tce,010/010910/010910878/dv/kplr010910878-003-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2455004.301,0.00117,-0.00117,010/010910/010910878/dv/kplr010910878-20160209194854_dvr.pdf,0,0,0,0,108.3,15.73,-23.44,3.28707,0.14618,-1.14248,LS+MCMC,1.0,1
