kepid,kepoi_name,status,koi_period,koi_time0bk,koi_duration,label
9777087,K03747.02,ok,19.226055,132.6309,2.949,0
6209225,K06676.01,ok,439.21978,523.3139,9.392,1
7596240,K04295.01,ok,13.3997555,131.84235,3.534,1
3758499,K05007.02,ok,80.881757,136.6708,12.568,1
5374854,K00645.01,ok,8.50339249,170.86894,2.9569,1
3965201,K07546.01,ok,44.113873,164.8337,3.956,1
5956776,K03821.01,ok,0.569115097,132.020841,3.5028,0
11508644,K03101.01,ok,14.2563272,133.40971,4.796,1
7751562,K06912.01,ok,17.042155208,142.4257555,7.80412,0
8703884,K01262.01,ok,14.17098745,359.82956,3.4804,0
6603765,K06739.01,ok,19.164111,139.8244,2.773,1
5955321,K06140.01,ok,11.637858887,136.885517,11.8851,0
11969988,K04011.01,ok,2.19068738,132.01727,4.41,0
11757451,K04745.01,ok,177.668663,264.2428,9.298,1
3962243,K01203.03,ok,48.6478543,172.1271,5.464,1
5364071,K00248.02,ok,10.91274065,169.85247,2.1801,1
6871071,K02220.04,ok,7.66462913,137.38342,3.614,1
11601584,K01831.03,ok,34.205785079,148.8050925,5.1691,1
7377033,K00882.01,ok,1.956811408,170.694208,2.1958,0
12105051,K00141.01,ok,2.624234833,132.304988,1.3874,1
6207053,K06675.01,ok,0.604755462,131.84831,1.3741,0
4645833,K04783.01,ok,0.743495989,132.18904,2.255,0
9904059,K00145.01,ok,102.9641952,158.07473,15.735,0
3836439,K06364.01,ok,1.540395674,131.9963513,2.80168,0
11905409,K03312.01,ok,18.0939004,139.01706,3.294,1
6442735,K05283.01,ok,18.7821603,147.8508,5.573,1
8417078,K04693.01,ok,23.6223571,146.9643,6.852,1
7898352,K01486.01,ok,127.2824442,163.89,7.1545,1
9715939,K03690.01,ok,12.893018017,141.611199,3.30029,0
2720828,K04669.01,ok,1.71659304,131.6976,1.154,0
9693803,K07224.01,ok,13.4959496,142.1992,2.085,1
5283728,K05149.01,ok,43.681309,168.9218,12.37,1
8524110,K07891.01,ok,0.79708975,131.8481,3.301,0
5041569,K02795.01,ok,2.5355023,132.20054,7.189,0
8009500,K06951.01,ok,38.47674409,150.5742128,5.10744,0
9899216,K07971.01,ok,1.33259003,132.0133,3.962,0
9411166,K01922.01,ok,1.954525966,132.29679,2.0944,1
8813698,K01268.01,ok,268.9410974,360.070904,5.4434,1
11624249,K00356.01,ok,1.82708193,170.52583,1.96401,1
6507427,K02455.01,ok,4.74254518,133.13916,1.023,0
3114167,K00795.01,ok,6.770300385,170.57662,2.0844,1
6956014,K00031.01,ok,0.925589891,169.69275,1.967,0
11030711,K01429.01,ok,205.912735,252.74129,9.992,1
11855538,K07485.01,ok,2.521265,132.848,2.69,0
8760040,K02963.02,ok,7.35101287,133.63951,2.757,1
7100673,K04032.04,ok,5.10110666,132.42955,2.657,1
11819135,K08067.01,ok,1.901655058,132.83364,4.6545,0
11824222,K00437.01,ok,15.84132627,177.142109,1.8215,1
7207061,K02113.01,ok,15.94248453,146.33157,3.4894,1
4833421,K00232.02,ok,5.766165573,134.01725,3.8314,1
6206214,K02252.01,ok,13.53953595,143.15629,4.389,1
5308777,K05152.01,ok,0.944598153,132.2327,4.018,0
8430964,K03078.01,ok,2.98618134,133.46926,2.969,1
6383821,K01238.01,ok,27.07237655,139.1127,6.9592,1
7622059,K06161.01,ok,10.4032399,138.18443,23.85,0
4996057,K07712.01,ok,4.8302364,134.9522,7.983,1
11853905,K00007.01,ok,3.213668926,123.611878,3.98235,1
5021899,K00821.01,ok,21.81295996,174.01085,4.3791,1
7024222,K00309.01,ok,1.633107509,170.19649,1.491,0
3761319,K06104.01,ok,16.2480865,143.96708,8.232,0
3340165,K04972.01,ok,26.092284,149.1087,6.623,1
6880517,K03305.01,ok,65.6491001,174.79319,7.298,1
5437945,K03791.01,ok,440.7843755,139.3535,21.693,1
12505654,K02353.01,ok,5.186737262,134.99509,0.8023,1
9049550,K05606.01,ok,23.81490574,135.92167,1.9948,0
6953281,K08130.01,ok,0.566799395,131.79717,1.5368,0
8414216,K07036.01,ok,11.93137992,142.82366,3.639,0
9640439,K02912.01,ok,0.873227249,132.23359,0.7948,0
5097278,K06519.01,ok,0.73240662,131.5735,4.33,0
3858804,K00391.01,ok,25.9525478,174.84275,21.328,0
8056665,K00089.01,ok,84.6877524,150.57084,10.0248,1
5014903,K02966.01,ok,7.72768833,136.19387,2.06,0
9532997,K08284.01,ok,49.763624,135.0312,2.749,0
4384909,K07693.01,ok,6.41097179,132.9844,2.582,1
9848420,K07237.01,ok,7.9320191,136.4321,8.18,0
8377197,K04727.01,ok,1.215181097,131.50904,1.295,0
3228740,K06309.01,ok,0.730956716,132.21412,2.097,0
8056651,K04869.01,ok,5.5834987,132.562,2.484,0
8158127,K01015.03,ok,16.9972894,143.87301,2.585,1
5211199,K02158.02,ok,6.68231249,132.18853,3.251,1
10226343,K07994.01,ok,0.660655454,131.6909,7.111,0
8708961,K08163.01,ok,370.98253,308.2287,17.84,1
10337517,K01165.02,ok,4.29263699,134.80018,2.7,1
6314185,K03752.01,ok,1.433262145,132.822323,5.6316,0
10407210,K04662.01,ok,0.933728755,131.54241,4.363,0
5636648,K01565.01,ok,0.466743525,133.971123,1.3956,0
5444392,K06578.01,ok,0.759764419,131.7927631,5.72501,0
5621294,K06606.01,ok,0.938905082,131.8411582,5.00453,0
9790965,K07231.01,ok,0.82206761,132.243022,3.8281,0
12164770,K02088.01,ok,2.63009438,132.22517,11.226,0
8077137,K00274.01,ok,15.0896415,175.95371,4.3349,1
8076630,K02235.01,ok,0.861643331,131.80744,2.4318,0
9965957,K01911.01,ok,5.75321539,136.75617,1.7948,1
12021625,K02996.01,ok,15.9314412,141.81212,2.435,1
7427764,K04364.01,ok,4.56383697,132.26068,2.271,1
6182846,K03591.01,ok,6.399101307,134.702264,4.7439,0
7777818,K04380.01,ok,5.78159956,136.77178,2.222,0
6276791,K04477.01,ok,5.30179786,135.9927,2.24,1
8637903,K08276.01,ok,385.858683,343.64827,12.071,1
3449540,K04982.01,ok,1.606003121,132.4945147,4.88602,0
7588436,K06888.01,ok,23.3924063,139.7612,3.416,0
9447166,K03296.01,ok,62.869463,166.0137,6.842,1
10341781,K08289.01,ok,0.93371211,131.5372,4.76,0
6877673,K06784.01,ok,36.75892725,156.0924573,15.5723,0
11450414,K01992.03,ok,85.517344,181.351,9.331,1
8560475,K05543.01,ok,7.41505161,133.31055,2.061,0
7448023,K07839.01,ok,0.566816802,131.77983,1.981,0
8689793,K01893.01,ok,3.554856338,131.80398,2.1004,1
9532637,K03842.01,ok,0.61496383,132.022402,1.93053,0
4049108,K00495.01,ok,4.804469031,169.63529,3.4587,0
8543278,K07052.01,ok,7.549299761,135.0113297,2.46338,0
9210828,K07147.01,ok,0.82820657,131.581313,2.70353,0
7695445,K06906.01,ok,1.74336627,132.8574,10.405,0
7771181,K04797.01,ok,9.97202023,137.71181,1.425,1
7975727,K00418.01,ok,22.418319842,172.797099,5.349,0
8364119,K07024.01,ok,7.73591011,137.9876592,5.01919,0
10081899,K08196.01,ok,522.64613,190.3389,17.77,0
5473535,K03894.01,ok,1.673662758,131.67166,2.3135,0
4454219,K06416.01,ok,1.22578134,131.6062,2.235,0
3098810,K01878.01,ok,40.80957343,142.69218,3.158,1
10091110,K03627.02,ok,8.529991199,137.654769,3.9954,0
10535807,K07337.01,ok,1.481655821,132.699429,3.4913,0
12506770,K01577.01,ok,2.806243488,133.7314,1.6271,1
12023078,K02888.01,ok,0.623441939,131.990423,1.4053,0
8262210,K01073.01,ok,1.613001111,178.52846,2.394,0
10909127,K02200.01,ok,3.17059731,132.67813,1.6686,1
5716244,K06619.01,ok,1.330333096,132.785555,5.045,0
6707908,K02014.01,ok,2.466070972,132.32097,1.9559,0
10026502,K04706.01,ok,101.952048,206.3499,5.991,1
3542117,K04987.01,ok,12.5748872,143.1278,3.549,0
10917043,K02770.01,ok,205.385912,284.18824,8.681,1
6386784,K06700.01,ok,1.99567242,132.87321,3.58,0
5475494,K03969.01,ok,0.73619448,132.08341,1.1148,0
9079915,K07922.01,ok,0.812678859,132.20817,0.841,0
11560037,K03874.01,ok,1.466535757,131.992658,0.8222,0
6677256,K01243.01,ok,3.125814002,356.41184,1.7895,0
10717220,K06228.01,ok,21.0907909,133.96316,4.751,1
8766268,K08168.01,ok,5.29731736,135.5479,3.341,0
11512246,K00168.03,ok,7.10695741,138.32271,5.1462,1
5650314,K03731.01,ok,1.070272827,131.835891,4.2844,0
6784235,K00863.01,ok,3.167893418,172.147959,2.1814,1
4768846,K02077.01,ok,1.25483232,132.18633,2.67,0
7501646,K02572.01,ok,6.37705295,136.91384,1.949,1
11336883,K01445.01,ok,7.16893064,135.67854,4.6766,1
6586746,K02747.01,ok,6.26404774,132.82928,2.39,1
7748487,K03394.01,ok,15.5764061,135.9482,5.382,1
9594184,K05696.01,ok,42.093314,141.1113,4.649,0
3554600,K00803.01,ok,7.544039,171.7982,6.222,0
3858919,K05990.01,ok,25.9522913,154.8689,10.977,0
6037581,K01916.03,ok,2.0248205,132.35465,2.55,1
9153570,K02625.01,ok,3.81371423,132.57465,1.973,1
8410727,K01148.01,ok,11.47609015,135.39622,5.046,1
5952366,K03947.01,ok,0.905679492,132.196318,2.1164,0
10810838,K00174.01,ok,56.35407916,144.83768,3.4449,1
5380812,K06570.01,ok,16.214474,136.435,4.149,1
3348090,K04112.01,ok,2.43585046,132.89661,2.088,0
5959753,K00226.01,ok,8.30865307,138.10788,3.2747,1
9166700,K05632.01,ok,264.466625,134.96749,6.371,1
5358241,K00829.02,ok,9.75192101,138.78608,4.793,1
5966154,K00655.02,ok,151.8851881,176.41272,12.091,1
5372966,K00832.01,ok,9.286358079,171.8214689,3.49949,0
10854546,K02104.01,ok,2.168451063,132.14107,1.458,1
3859363,K02887.01,ok,1.56859048,131.64081,11.591,0
4540632,K06422.01,ok,31.005392846,150.8616525,3.073,0
8456679,K00102.01,ok,1.73513619,135.060047,2.2741,1
7379385,K02207.01,ok,67.230028,171.7451,25.01,0
9771576,K08185.01,ok,398.71694,481.1929,21.6,0
5364071,K00248.04,ok,18.59611518,141.26331,2.3052,1
8156120,K00318.01,ok,38.5833679,174.84868,12.391,1
5091479,K07715.01,ok,25.8616058,140.2048,7.78,1
5020034,K03688.01,ok,2.119107262,132.58903,7.5384,0
4178606,K02728.01,ok,42.3520039,131.61246,7.773,1
3330684,K04533.01,ok,1.26132769,132.4274,1.244,0
5959719,K02498.01,ok,6.73808701,133.32953,2.591,1
10785538,K01313.01,ok,0.522457732,133.751976,0.8907,0
8081389,K06958.01,ok,1.489442254,132.0042975,5.51392,0
3248019,K01759.01,ok,1.334104585,132.3674913,3.14624,0
6522242,K00855.01,ok,41.408316686,195.78745,5.0264,1
8589754,K03518.01,ok,8.939461148,133.013944,6.19136,0
5956342,K01052.01,ok,17.02902786,143.33395,4.645,1
12004689,K07504.01,ok,2.5212708,132.8596,2.706,0
4037428,K05993.01,ok,4.264729569,135.198495,2.2075,0
8609450,K01278.03,ok,9.2207691,138.0072,4.907,1
6584273,K03287.01,ok,51.1104797,143.77855,7.712,1
5791986,K00413.02,ok,24.67458244,146.77261,3.2648,1
10585887,K08293.01,ok,378.65484,288.2584,11.3,0
9541144,K07603.01,ok,0.536650344,131.7073,2.878,0
3239671,K02066.01,ok,147.97391,263.08561,6.854,1
8121328,K03486.01,ok,19.0689513,145.7515,12.462,1
9597345,K00711.03,ok,124.5245224,254.17788,9.654,1
6209798,K02196.01,ok,1.205412526,131.93619,1.537,0
4384793,K06413.01,ok,374.318792,431.5127,5.96,0
7115597,K06824.01,ok,0.566791946,131.8145,2.77,0
8382339,K07031.01,ok,5.40597608,131.61052,2.79,0
11073656,K02206.01,ok,1.834277283,132.85895,1.7499,1
12164634,K03491.01,ok,89.3313828,204.18503,11.919,0
4669402,K04128.01,ok,143.196381,227.3054,10.424,0
7879433,K02527.01,ok,1.385787741,135.49119,1.6449,1
6779726,K03375.01,ok,47.0563327,173.9653,4.807,1
3858884,K06371.01,ok,25.95193721,154.881253,15.9897,0
9076971,K02981.01,ok,9.06687613,134.75185,3.381,1
6198999,K01687.01,ok,3.93246069,132.55435,2.1763,1
5024482,K02041.01,ok,1.5259105,132.7061,3.114,0
7955301,K06938.01,ok,15.32763411,134.92291,6.0662,0
9641008,K03860.01,ok,2.178154774,132.02433,3.5302,0
5209845,K02883.01,ok,11.95401876,140.26226,2.656,1
3867615,K02289.02,ok,20.0983676,207.57757,5.207,1
3758922,K04853.01,ok,17.7412303,144.3554,4.816,1
8845552,K07099.01,ok,34.0357766,138.9291,3.849,1
9780149,K05713.01,ok,2.53021,132.0918,21.79,0
4758368,K06448.01,ok,1.874967748,132.701553,10.0159,0
7770471,K03706.01,ok,1.157804607,132.448327,4.66082,0
8227661,K02826.01,ok,1.85373924,132.66885,1.816,0
8738775,K03432.01,ok,48.0506878,140.514,7.999,1
9244756,K01969.01,ok,16.34355902,145.04116,5.474,1
11358389,K02163.01,ok,10.66489514,132.00872,3.159,1
11037818,K05856.01,ok,259.34304,165.6794,16.04,1
6670610,K06752.01,ok,8.9429645,137.26373,1.803,1
12016243,K07506.01,ok,11.8436119,138.0037,6.044,1
3342970,K00800.02,ok,7.21203748,172.81782,4.0491,1
6285094,K06683.01,ok,5.2439783,132.6829,10.1,0
8695311,K03042.01,ok,31.0259489,158.5632,5.692,1
12314973,K00279.02,ok,15.4130812,136.94324,6.6358,1
9353314,K01900.01,ok,5.18498961,131.8814,2.1397,1
6610064,K04529.01,ok,0.584148495,131.84461,1.6192,0
8039925,K06956.01,ok,20.2594232,141.4275,19.27,0
9574179,K02637.01,ok,3.98864999,134.8296,3.516,1
10978763,K01931.01,ok,4.97760447,134.67304,2.5719,1
10816107,K07377.01,ok,2.161583501,131.80273,4.0537,0
7293937,K03211.01,ok,1.366964704,132.195909,2.3181,0
5542466,K01590.01,ok,12.89006728,201.22989,3.555,1
6842807,K02921.01,ok,16.6146221,137.33276,2.706,1
8636333,K03349.01,ok,82.175197,197.20187,8.664,1
4245897,K06395.01,ok,11.2570616,140.81576,29.059,0
10551346,K05804.01,ok,1.42796645,132.604851,12.8653,0
4665571,K02393.01,ok,4.60300256,133.22313,2.6848,1
10352603,K07317.01,ok,32.77897303,136.182037,19.1378,0
10910878,K00757.02,ok,41.19725502,165.00404,4.6297,1
8022244,K00519.02,ok,34.0350605,134.42752,6.695,1
9530945,K00708.01,ok,17.40665216,171.00688,6.864,1
10363115,K03908.01,ok,59.3627946,184.14711,13.972,1
6526710,K00856.01,ok,39.74893077,172.854644,7.3051,1
9665922,K02815.01,ok,1.545388842,132.63059,3.037,0
4813750,K05088.01,ok,49.1782244,165.7659,5.8,1
3101923,K03483.01,ok,82.331756,133.0814,8.664,1
9837661,K02715.01,ok,11.12827427,139.54417,2.6118,1
9640924,K04239.01,ok,2.17815935,132.02414,1.839,0
8958035,K01391.01,ok,7.981187121,133.802114,1.8071,0
12459913,K00602.01,ok,12.91385906,177.27535,5.3685,1
6421483,K06703.01,ok,2.158398259,131.894054,8.1633,0
8652360,K04562.01,ok,0.96807117,132.44697,1.677,0
3732035,K03966.01,ok,138.944022,153.90645,10.611,1
5282049,K01545.01,ok,5.910371418,360.2852478,3.88962,0
11873166,K07487.01,ok,0.734426335,131.931739,2.7415,0
6975615,K01698.01,ok,2.065351521,133.15601,2.661,0
6592832,K04082.01,ok,0.924821319,132.09187,2.594,0
6279974,K01812.01,ok,0.805259257,132.100916,1.42246,0
10794405,K07373.01,ok,0.952377862,132.335117,4.0869,0
8676148,K02544.01,ok,28.6253502,158.11827,4.551,1
11460018,K00769.01,ok,4.280963604,171.89659,2.875,1
12017140,K00358.01,ok,22.845241036,172.8026986,5.3007,0
9395024,K02383.01,ok,4.37033233,131.92696,2.845,1
7021681,K00255.03,ok,7.7333361,133.58981,2.807,0
7908367,K06166.01,ok,12.2064304,134.053,2.407,1
9602613,K02612.01,ok,4.61225043,133.86134,2.695,1
11616200,K07462.01,ok,1.718649321,132.21092,3.94095,0
4142847,K02210.01,ok,2.888904439,132.15271,1.6043,1
3848919,K05015.01,ok,0.52363021,131.7669254,3.45121,0
8074805,K02670.01,ok,170.8658492,299.660385,16.9895,0
9936698,K07257.01,ok,2.856085147,133.39298,4.5776,0
9512687,K00942.01,ok,11.51517167,174.85855,2.006,1
4732015,K05076.02,ok,0.939740093,131.7401,3.682,0
3860441,K01188.01,ok,2.988085455,133.27252,3.68,0
12120484,K02407.01,ok,17.2922631,135.75448,7.042,1
8824737,K03347.01,ok,12.90235874,139.15105,2.446,1
11913052,K07491.01,ok,3.74785307,134.17465,3.444,0
12834874,K00487.01,ok,7.65880048,173.03964,3.0427,1
10407054,K02500.01,ok,0.933754669,132.44306,4.048,0
10163067,K07291.01,ok,25.9136674,131.8232,10.498,1
7769815,K06915.01,ok,4.43529675,134.7488,2.117,0
7288306,K03443.01,ok,96.169569,170.2581,7.496,1
1572948,K04924.01,ok,3.0031801,132.1161,2.814,0
9850843,K05724.01,ok,8.48039,135.853,6.134,0
3103473,K04395.01,ok,1.920062587,131.72678,1.437,1
11773022,K00620.02,ok,130.17802962,212.032638,8.4534,1
3338885,K01845.01,ok,1.970340203,131.948389,1.7901,1
9282769,K03959.01,ok,1.332567005,132.0492,6.3373,0
6233466,K03552.01,ok,15.873380595,143.859941,8.0429,0
7257363,K02292.01,ok,5.23340265,133.1457,3.242,0
4586482,K05073.01,ok,623.005238,201.386299,23.5615,0
5036537,K03718.01,ok,1.06100873,132.521276,2.6715,0
6277410,K07774.01,ok,6.32589574,133.27081,1.383,1
5358241,K00829.03,ok,38.5576546,163.85063,5.794,1
11724091,K07475.01,ok,1.559090282,131.7719964,4.95211,0
8096395,K07587.01,ok,366.088938,165.426,11.887,1
2574201,K01025.01,ok,37.4783492,157.31713,5.317,0
6527229,K05296.01,ok,200.79976002,263.875635,7.6419,0
2307206,K03549.01,ok,204.0329342,253.536626,17.5623,0
6037581,K01916.02,ok,9.59993246,136.58227,4.3206,1
7177766,K07819.01,ok,0.769358923,131.57827,1.5364,0
6023859,K03414.01,ok,27.009807384,141.2897316,1.96698,0
7601918,K04133.01,ok,0.621361411,131.67283,1.0628,0
8378634,K01139.01,ok,3.629442796,134.70066,5.63,0
8175131,K02139.01,ok,4.27121961,132.10466,2.9283,0
12737015,K04245.01,ok,24.6683831,136.633,8.556,1
9576197,K06207.01,ok,7.964440392,136.194674,9.1701,0
9874581,K08189.01,ok,473.56314,222.9281,5.087,0
9702945,K04822.01,ok,3.51413723,132.40707,3.919,1
6521045,K00041.02,ok,6.88707073,133.17797,4.4679,1
8628758,K01279.01,ok,14.37457572,138.20189,4.7892,1
7610663,K04160.01,ok,3.03196812,133.98825,1.723,1
3230578,K00381.01,ok,6.337614357,170.189414,1.742,0
4482738,K06418.01,ok,0.866344816,132.06358,1.9188,0
3966801,K00494.01,ok,25.69581456,188.78889,4.0251,1
6806695,K04061.01,ok,0.855922327,131.64426,1.514,0
10292238,K03526.01,ok,143.1188694,266.359224,16.8109,0
8625408,K07073.01,ok,279.036565,246.6289,31.92,1
12418891,K04321.01,ok,0.760941405,131.62978,1.773,0
4919550,K04766.02,ok,2.45261841,133.60879,1.9,0
3554031,K01194.02,ok,14.8623076,354.57297,3.161,1
4172013,K02386.01,ok,16.2707207,145.097,5.707,1
4277304,K04774.01,ok,51.567801,168.873,5.514,1
2302548,K00988.01,ok,10.38122447,268.02421,2.715,1
8582291,K02330.01,ok,2.4681015,132.07692,2.83,0
4249611,K02821.01,ok,79.2450351,161.5717,5.382,1
10122538,K02926.01,ok,12.2854718,131.90073,2.996,1
4365442,K02787.01,ok,1.714410345,131.86549,3.336,0
9896018,K02579.02,ok,3.59645081,132.77209,2.661,1
10319341,K05784.01,ok,40.1043796,158.8392,3.471,0
9291368,K07155.02,ok,3.79654367,133.2353,11.4071,0
11923213,K05943.01,ok,27.2020672,151.86606,1.811,1
5597970,K06014.01,ok,6.71738328,137.2100078,3.60057,0
5823557,K07743.01,ok,2.4044122,133.2244,4.575,0
3232859,K01090.01,ok,8.387210055,138.903759,1.6477,0
10670112,K07360.01,ok,4.0953585,135.7884,44.35,1
8278073,K04799.01,ok,12.0729757,142.429,3.783,1
2449074,K00378.01,ok,4.94402197,173.75192,4.062,0
11188249,K02765.01,ok,2.75505467,133.42201,3.426,0
9710326,K00947.01,ok,28.59914031,189.92667,3.6567,1
5790807,K00259.01,ok,79.99623328,207.126264,6.3339,0
8866137,K02074.01,ok,33.4178173,155.58781,4.645,1
8621348,K00461.01,ok,11.34436822,172.84392,5.558,0
11450414,K01992.01,ok,12.7983174,133.64979,6.401,1
9823519,K02793.02,ok,1.766789509,133.08336,1.3345,1
4175630,K02998.01,ok,28.227413,141.49504,5.782,1
7836096,K05435.01,ok,15.9961296,138.93316,1.656,1
8414907,K01134.01,ok,100.3039228,277.0607,8.702,0
4665989,K06433.01,ok,1.124033822,131.62878,5.5728,0
6129694,K04131.01,ok,0.936751792,132.2026,5.658,0
7037540,K01347.01,ok,14.405857436,360.3847471,5.48509,0
9579641,K00115.02,ok,7.12594387,139.00492,3.0014,1
5303551,K00553.01,ok,2.399069173,171.45413,3.2576,0
9006186,K02169.02,ok,3.26662733,136.08452,2.056,1
7447200,K00676.01,ok,7.972510087,171.585057,2.9754,1
8240904,K01070.01,ok,6.61836309,360.36694,3.6813,1
