kepid,kepoi_name,kepler_name,ra,ra_err,ra_str,dec,dec_err,dec_str,koi_gmag,koi_gmag_err,koi_rmag,koi_rmag_err,koi_imag,koi_imag_err,koi_zmag,koi_zmag_err,koi_jmag,koi_jmag_err,koi_hmag,koi_hmag_err,koi_kmag,koi_kmag_err,koi_kepmag,koi_kepmag_err,koi_delivname,koi_vet_stat,koi_quarters,koi_disposition,koi_pdisposition,koi_count,koi_num_transits,koi_max_sngle_ev,koi_max_mult_ev,koi_bin_oedp_sig,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_trans_mod,koi_model_snr,koi_model_dof,koi_model_chisq,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_period,koi_period_err1,koi_period_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,koi_comment,koi_vet_date,koi_tce_plnt_num,koi_tce_delivname,koi_datalink_dvs,koi_disp_prov,koi_parm_prov,koi_time0,koi_time0_err1,koi_time0_err2,koi_datalink_dvr,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_insol,koi_insol_err1,koi_insol_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_score,label
9777087,K03747.02,,294.47,0.0,19h37m52.80s,46.589581,0.0,+46d35m22.5s,17.779,,17.038,,16.76,,16.58,,15.59,0.076,14.925,0.099,14.829,0.141,17.065,,cumulative,Done,110000000000000000000000000000,FALSE POSITIVE,FALSE POSITIVE,2,10.0,6.6655254,11.5548115,,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2543,0.4266,Mandel and Agol (2002 ApJ 580 171),10.1,,,132.6309,0.0192,-0.0192,0.0,,,,,,3.52,0.51,-0.2,0.124,,,0.2579,0.198,-0.2579,2.949,0.31,-0.31,,,,3266.0,384.0,-384.0,19.226055,0.00167,-0.00167,0.051932,0.00334,-0.004011,50.8,5.3,-5.3,89.95,,,513.0,,,5193.0,189.0,-172.0,4.689,0.025,-0.093,-0.76,0.32,-0.3,0.621,0.09,-0.035,0.687,0.064,-0.057,,,,stellar_q1_q16,,19.63124,1.6e-05,46.58957,0.00017,-3.45,0.58,-0.05,0.62,0.0158,0.0035,,,-5.9,0.12,1.43,0.13,6.07,0.12,-5.4,1.5,1.81,0.54,5.7,1.6,EYEBALL---CLEAR_APO---TOO_FEW_QUARTERS---PARENT_IS_009777062-01,2018-08-16 00:00:00,3.0,q1_q17_dr24_tce,009/009777/009777087/dv/kplr009777087-003-20141002224145_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr24_koi,2454965.631,0.0192,-0.0192,009/009777/009777087/dv/kplr009777087-20141002224145_dvr.pdf,0,0,0,1,16.32,8.37,-3.62,6.70804,0.70447,-4.15298,MCMC,,0
6209225,K06676.01,,293.16168,0.0,19h32m38.80s,41.538158,0.0,+41d32m17.4s,14.287,,13.964,,13.868,,13.85,,13.067,0.021,12.811,0.022,12.779,0.028,13.993,,cumulative,Done,11111111111111111000000000000000,CANDIDATE,CANDIDATE,1,3.0,5.958456,7.231165,,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3062,0.2855,Mandel and Agol (2002 ApJ 580 171),10.3,,,523.3139,0.02,-0.02,0.0,,,,,,1.81,0.62,-0.17,1.1379,,,0.2863,0.1998,-0.2862,9.392,0.601,-0.601,,,,342.3,33.5,-33.5,439.21978,0.01354,-0.01354,0.017205,0.000675,-0.001344,348.7,99.4,-99.4,89.95,,,266.0,,,6553.0,161.0,-206.0,4.479,0.048,-0.048,-0.64,0.24,-0.32,0.962,0.331,-0.088,1.017,0.098,-0.123,,,,stellar_q1_q17,0.087,19.544135,3.1e-05,41.53846,0.00034,0.9,1.2,1.1,1.2,-0.0003,0.00043,-0.00036,0.00042,0.33,0.67,0.2,2.3,0.4,1.5,0.31,0.64,0.3,2.3,0.4,1.6,TOO_FEW_QUARTERS,2018-08-16 00:00:00,1.0,q1_q17_dr24_tce,006/006209/006209225/dv/kplr006209225-001-20141002224145_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr24_koi,2455356.314,0.02,-0.02,006/006209/006209225/dv/kplr006209225-20141002224145_dvr.pdf,0,0,0,0,1.18,1.17,-0.32,4.15804,1.18498,-1.9243,MCMC,,1
7596240,K04295.01,Kepler-1584 b,287.7627,0.0,19h11m03.05s,43.274429,0.0,+43d16m27.9s,15.284,,14.869,,14.769,,14.742,,13.921,0.025,13.642,0.029,13.524,0.037,14.924,,cumulative,Done,11111111111111111000000000000000,CONFIRMED,CANDIDATE,1,99.0,3.2391007,11.532616,0.3268,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3119,0.2971,Mandel and Agol (2002 ApJ 580 171),13.6,,,131.84235,0.00667,-0.00667,0.0,,,,,,1.51,0.46,-0.18,0.1168,,,0.375,0.077,-0.375,3.534,0.188,-0.188,,,,167.3,14.1,-14.1,13.3997555,0.0001208,-0.0001208,0.012052,0.00058,-0.000607,27.23,6.9,-6.9,89.21,,,886.0,,,6401.0,153.0,-211.0,4.389,0.062,-0.188,-0.04,0.25,-0.3,1.15,0.35,-0.14,1.183,0.169,-0.152,,,,q1_q17_dr25_stellar,0.027,19.184221,2.7e-05,43.27437,0.0003,1.6,1.0,-0.2,1.1,-0.00031,0.00017,0.00013,0.00018,-0.15,0.59,-0.49,0.56,0.52,0.66,-0.15,0.59,-0.49,0.63,0.51,0.72,NO_COMMENT,2018-08-16 00:00:00,1.0,q1_q17_dr25_tce,007/007596/007596240/dv/kplr007596240-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2454964.842,0.00667,-0.00667,007/007596/007596240/dv/kplr007596240-20160209194854_dvr.pdf,0,0,0,0,145.65,126.7,-47.4,2.12774,1.08499,-0.54738,LS+MCMC,1.0,1
3758499,K05007.02,,294.36734,0.0,19h37m28.16s,38.846889,0.0,+38d50m48.8s,14.232,,13.654,,13.469,,13.368,,12.527,0.025,12.197,0.031,12.106,0.024,13.698,,cumulative,Done,11111011101110111000000000000000,CANDIDATE,CANDIDATE,2,14.0,3.319238,8.172826,0.8033,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.291,0.3469,Mandel and Agol (2002 ApJ 580 171),12.2,,,136.6708,0.0196,-0.0196,0.0,,,,,,2.27,0.52,-0.98,0.3828,,,0.335,0.116,-0.335,12.568,0.893,-0.893,,,,142.7,13.6,-13.6,80.881757,0.003216,-0.003216,0.011018,0.000777,-0.000485,46.9,15.6,-15.6,89.59,,,581.0,,,5934.0,178.0,-178.0,3.945,0.44,-0.11,-0.06,0.3,-0.3,1.885,0.437,-0.811,1.141,0.155,-0.207,,,,q1_q17_dr25_stellar,0.212,19.624458,3.9e-05,38.84718,0.00049,-1.3,1.6,1.1,1.8,0.00017,0.00021,-0.00014,0.00022,0.1,1.4,-1.1,1.4,1.1,1.4,0.0,2.1,-1.1,1.3,1.1,1.3,NO_COMMENT,2018-08-16 00:00:00,2.0,q1_q17_dr25_tce,003/003758/003758499/dv/kplr003758499-002-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2454969.671,0.0196,-0.0196,003/003758/003758499/dv/kplr003758499-20160209194854_dvr.pdf,0,0,0,0,26.91,19.04,-19.18,0.29847,0.19803,-0.10075,LS+MCMC,0.553,1
5374854,K00645.01,Kepler-633 b,295.21744,0.0,19h40m52.19s,40.592251,0.0,+40d35m32.1s,14.131,,13.69,,13.538,,13.466,,12.437,0.023,12.101,0.026,11.978,0.026,13.716,,cumulative,Done,11111011101110111000000000000000,CONFIRMED,CANDIDATE,2,120.0,4.534675,22.345987,0.6795,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2904,0.3534,Mandel and Agol (2002 ApJ 580 171),28.5,,,170.86894,0.00246,-0.00246,0.0,,,,,,1.95,0.31,-0.37,0.0815,,,0.825,0.105,-0.569,2.9569,0.0795,-0.0795,,,,188.9,7.4,-7.4,8.50339249,2.792e-05,-2.792e-05,0.014143,0.001214,-0.001596,12.99,6.3,-6.3,86.36,,,1021.0,,,5877.0,105.0,-129.0,4.233,0.162,-0.108,-0.04,0.15,-0.15,1.265,0.199,-0.243,0.997,0.089,-0.073,,,,q1_q17_dr25_stellar,0.298,19.681157,1.3e-05,40.59219,0.00014,-0.2,0.51,-0.22,0.51,8.7e-05,9.3e-05,4.2e-05,9.2e-05,0.09,0.19,-0.72,0.25,0.72,0.25,0.01,0.23,-0.86,0.23,0.86,0.23,NO_COMMENT,2018-08-16 00:00:00,2.0,q1_q17_dr25_tce,005/005374/005374854/dv/kplr005374854-002-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2455003.869,0.00246,-0.00246,005/005374/005374854/dv/kplr005374854-20160209194854_dvr.pdf,0,0,0,0,257.22,112.57,-103.6,0.57398,2.21789,-0.44616,LS+MCMC,0.886,1
3965201,K07546.01,,294.31064,0.0,19h37m14.55s,39.049702,0.0,+39d02m58.9s,12.788,,12.626,,12.61,,12.608,,11.874,0.022,11.768,0.021,11.708,0.02,12.667,,cumulative,Done,11111011101110111000000000000000,CANDIDATE,CANDIDATE,1,7.0,5.797873,8.796513,,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2862,0.2926,Mandel and Agol (2002 ApJ 580 171),6.6,,,164.8337,0.0254,-0.0254,0.0,,,,,,4.9,0.88,-1.62,0.3101,,,0.032,0.419,-0.032,3.956,0.842,-0.842,,,,196.3,31.0,-31.0,44.113873,0.001449,-0.001449,0.01296,0.000683,-0.00161,86.26,3.3,-3.3,89.95,,,1158.0,,,7854.0,227.0,-311.0,3.669,0.258,-0.258,-0.12,0.26,-0.34,3.462,0.624,-1.141,2.039,0.286,-0.392,,,,stellar_q1_q17,0.524,19.6207016,7.7e-06,39.049754,9e-05,-0.32,0.32,0.2,0.32,7e-05,0.00016,-4e-05,0.00017,-0.29,0.64,0.45,0.6,0.54,0.79,-0.29,0.58,0.56,0.54,0.63,0.69,,2018-08-16 00:00:00,4.0,q1_q17_dr24_tce,003/003965/003965201/dv/kplr003965201-004-20141002224145_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr24_koi,2454997.834,0.0254,-0.0254,003/003965/003965201/dv/kplr003965201-20141002224145_dvr.pdf,0,0,0,0,424.45,238.17,-262.15,6.23922,0.24113,-6.13748,MCMC,,1
5956776,K03821.01,,290.64828,0.0,19h22m35.59s,41.23407,0.0,+41d14m02.7s,16.959,,16.677,,16.548,,16.655,,15.604,0.059,15.5,0.119,15.096,0.148,16.747,,cumulative,Done,00000001111111111000000000000000,FALSE POSITIVE,FALSE POSITIVE,1,1386.0,93.6828,1253.3416,-1.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3332,0.24,Mandel and Agol (2002 ApJ 580 171),229.6,,,132.020841,0.000315,-0.000315,0.0,,,,,,156.15,47.62,-34.62,0.0152,,,0.444,0.269,-0.398,3.5028,0.0154,-0.0154,,,,585597.0,2542.0,-2542.0,0.569115097,1.71e-07,-1.71e-07,0.838661,0.102103,-0.112568,2.513,0.306,-0.306,79.82,,,3357.0,,,7174.0,225.0,-325.0,4.13,0.17,-0.187,-0.2,0.25,-0.35,1.705,0.52,-0.378,1.43,0.209,-0.255,,,,q1_q17_dr25_stellar,0.0,19.376658936,1.3e-08,41.23429512,1e-07,4.3426,0.00054,0.81042,0.00038,0.3,8.0,0.0,11.0,-8.144,0.067,-1.562,0.069,8.293,0.067,-0.179,0.068,0.028,0.068,0.182,0.068,LPP_DV---CENT_NOFITS,2018-08-16 00:00:00,1.0,q1_q17_dr25_tce,005/005956/005956776/dv/kplr005956776-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2454965.021,0.000315,-0.000315,005/005956/005956776/dv/kplr005956776-20160209194854_dvr.pdf,1,0,0,0,29827.37,27646.81,-14817.7,0.9271,0.11276,-0.15411,LS+MCMC,0.0,0
11508644,K03101.01,Kepler-1426 b,292.54575,0.0,19h30m10.98s,49.416969,0.0,+49d25m01.1s,15.648,,15.143,,14.997,,14.965,,14.032,0.026,13.734,0.029,13.645,0.053,15.192,,cumulative,Done,11111111111111111000000000000000,CONFIRMED,CANDIDATE,1,91.0,3.521095,12.743706,0.3276,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3029,0.3239,Mandel and Agol (2002 ApJ 580 171),14.3,,,133.40971,0.0088,-0.0088,0.0,,,,,,1.73,0.58,-0.19,0.1187,,,0.894,0.063,-0.604,4.796,0.302,-0.302,,,,206.1,16.8,-16.8,14.2563272,0.0001743,-0.0001743,0.015463,0.002061,-0.002501,10.97,5.4,-5.4,85.33,,,797.0,,,6140.0,171.0,-236.0,4.455,0.056,-0.21,-0.04,0.25,-0.3,1.027,0.341,-0.114,1.094,0.151,-0.151,,,,q1_q17_dr25_stellar,0.352,19.503059,3.1e-05,49.41717,0.00031,0.3,1.1,0.7,1.1,-8e-05,0.00021,-0.00016,0.00021,0.66,0.35,-0.1,0.36,0.66,0.36,0.46,0.37,-0.29,0.44,0.54,0.49,NO_COMMENT,2018-08-16 00:00:00,1.0,q1_q17_dr25_tce,011/011508/011508644/dv/kplr011508644-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2454966.41,0.0088,-0.0088,011/011508/011508644/dv/kplr011508644-20160209194854_dvr.pdf,0,0,0,0,95.22,93.35,-30.89,0.12299,1.08495,-0.10008,LS+MCMC,0.998,1
7751562,K06912.01,,291.28461,0.0,19h25m08.31s,43.405289,0.0,+43d24m19.0s,15.678,,15.194,,15.069,,15.009,,14.101,0.051,13.796,0.03,13.703,0.035,15.252,,cumulative,Done,11111111111111111000000000000000,FALSE POSITIVE,FALSE POSITIVE,1,82.0,417.89078,2386.545,0.9052,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.302,0.319,Mandel and Agol (2002 ApJ 580 171),2046.2,,,142.4257555,8.3e-05,-8.3e-05,0.0,,,,,,24.93,7.57,-3.03,0.1338,,,0.455,0.007,-0.008,7.80412,0.00517,-0.00517,,,,55165.0,31.3,-31.3,17.042155208,1.736e-06,-1.736e-06,0.220601,0.000237,-4e-06,18.914,0.273,-0.273,88.62,,,760.0,,,6197.0,172.0,-216.0,4.449,0.052,-0.195,-0.08,0.25,-0.3,1.035,0.314,-0.126,1.096,0.141,-0.141,,,,q1_q17_dr25_stellar,0.0,19.418986354,9.3e-08,43.40515904,9.4e-07,0.5121,0.0037,-0.4715,0.0034,0.065,0.0049,-0.0334,0.0067,-1.39,0.19,0.87,0.18,1.64,0.25,-0.025,0.068,-0.039,0.068,0.047,0.068,MOD_SEC_DV---MOD_SEC_ALT---HAS_SEC_TCE---CENT_KIC_POS,2018-08-16 00:00:00,1.0,q1_q17_dr25_tce,007/007751/007751562/dv/kplr007751562-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2454975.426,8.3e-05,-8.3e-05,007/007751/007751562/dv/kplr007751562-20160209194854_dvr.pdf,0,1,0,0,78.98,70.71,-26.12,0.44074,0.00635,-0.00544,LS+MCMC,0.0,0
8703884,K01262.01,,296.93393,0.0,19h47m44.14s,44.853642,0.0,+44d51m13.1s,16.368,,15.268,,14.955,,14.872,,13.751,0.031,13.301,0.031,13.186,0.035,15.379,,cumulative,Done,00011111111111111000000000000000,FALSE POSITIVE,FALSE POSITIVE,1,84.0,26.58552,122.1254,0.2835,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.153,0.5684,Mandel and Agol (2002 ApJ 580 171),93.6,,,359.82956,0.00106,-0.00106,0.0,,,,,,4.19,0.52,-0.39,0.1068,,,0.041,0.353,-0.041,3.4804,0.0422,-0.0422,,,,3070.8,37.9,-37.9,14.17098745,2.115e-05,-2.115e-05,0.049395,0.001248,-0.000498,32.62,1.5,-1.5,89.93,,,608.0,,,5107.0,179.0,-179.0,4.565,0.044,-0.072,-0.02,0.3,-0.3,0.777,0.097,-0.073,0.807,0.082,-0.073,,,,q1_q17_dr25_stellar,0.0,19.79560634,6e-07,44.8514726,8.5e-06,0.396,0.023,-7.803,0.031,-0.00112,0.00025,0.00996,0.00035,,,,,,,,,,,,,CENT_RESOLVED_OFFSET---EPHEM_MATCH,2018-08-16 00:00:00,1.0,q1_q17_dr25_tce,008/008703/008703884/dv/kplr008703884-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2455192.83,0.00106,-0.00106,008/008703/008703884/dv/kplr008703884-20160209194854_dvr.pdf,0,0,1,1,32.22,14.57,-9.29,3.27042,0.1527,-0.7453,LS+MCMC,0.0,0
